Date,Low,Open,Close,High
2014-09-08 00:00:00,464.71,479.48,472.15,479.82
2014-09-09 00:00:00,464.78,472.15,471.56,474.51
2014-09-10 00:00:00,471.56,471.56,477.53,487.33
2014-09-11 00:00:00,471.25,477.53,476.33,480.57
2014-09-12 00:00:00,467.28,476.33,473.83,476.5
2014-09-13 00:00:00,471.21,473.83,477.09,479.26
2014-09-14 00:00:00,473.44,477.09,474.71,477.89
2014-09-15 00:00:00,471.36,474.71,471.36,476.63
2014-09-16 00:00:00,461.88,471.36,463.74,472.99
2014-09-17 00:00:00,448.28,463.74,454.91,465.57
2014-09-18 00:00:00,405.37,454.91,421.46,455.35
2014-09-19 00:00:00,380.81,421.46,391.94,426.67
2014-09-20 00:00:00,386.14,391.94,406.82,423.19
2014-09-21 00:00:00,390.89,406.82,396.57,410.28
2014-09-22 00:00:00,392.8,396.57,398.89,405.25
2014-09-23 00:00:00,391.53,398.89,435.38,443.76
2014-09-24 00:00:00,419.17,435.38,422.3,436.98
2014-09-25 00:00:00,406.75,422.3,408.8,422.85
2014-09-26 00:00:00,396.21,408.8,401.92,414.33
2014-09-27 00:00:00,394.33,401.92,398.36,405.26
2014-09-28 00:00:00,370.21,398.36,376.2,400.54
2014-09-29 00:00:00,369.33,376.2,374.73,385.72
2014-09-30 00:00:00,372.11,374.73,386.27,394.17
2014-10-01 00:00:00,377.13,386.27,381.33,390.47
2014-10-02 00:00:00,369.57,381.33,371.99,382.8
2014-10-03 00:00:00,353.87,371.99,356.56,374.63
2014-10-04 00:00:00,321.95,356.56,325.49,362.18
2014-10-05 00:00:00,286.56,325.49,319.64,339.7
2014-10-06 00:00:00,301.41,319.64,328.46,343.75
2014-10-07 00:00:00,316.97,328.46,334.09,339.33
2014-10-08 00:00:00,325.51,334.09,352.79,354.37
2014-10-09 00:00:00,347.37,352.79,363.78,382.79
2014-10-10 00:00:00,351.7,363.78,358.69,375.12
2014-10-11 00:00:00,350.66,358.69,359.2,365.97
2014-10-12 00:00:00,352.57,359.2,376.19,377.97
2014-10-13 00:00:00,366.83,376.19,388.38,395.03
2014-10-14 00:00:00,388.3,388.38,398.71,409.89
2014-10-15 00:00:00,386.6,398.71,391.84,399.03
2014-10-16 00:00:00,369.53,391.84,380.08,396.27
2014-10-17 00:00:00,371.91,380.08,380.42,382.87
2014-10-18 00:00:00,375.57,380.42,388.96,393.12
2014-10-19 00:00:00,383.67,388.96,386.59,391.79
2014-10-20 00:00:00,377.19,386.59,379.37,386.92
2014-10-21 00:00:00,377.36,379.37,382.38,388.97
2014-10-22 00:00:00,377.85,382.38,379.1,384.5
2014-10-23 00:00:00,353.79,379.1,355.86,381.03
2014-10-24 00:00:00,351.21,355.86,355.17,360.61
2014-10-25 00:00:00,339.97,355.17,346.11,356.37
